ID	Question	Verse_Code	KJV_Verse	ASV_Verse	YLT_Verse	WEB_Verse	Label
1	What was the name of Jesus' mother?	40001018	Now the birth of Jesus Christ was on this wise When as his mother Mary was espoused to Joseph before they came together she was found with child of the Holy Ghost 	Now the birth of Jesus Christ was on this wise When his mother Mary had been betrothed to Joseph before they came together she was found with child of the Holy Spirit 	And of Jesus Christ the birth was thus For his mother Mary having been betrothed to Joseph before their coming together she was found to have conceived from the Holy Spirit 	Now the birth of Jesus Christ was like this for after his mother Mary was engaged to Joseph before they came together she was found pregnant by the Holy Spirit 	1
2	What was the name of Jesus' mother?	40001016	And Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ 	and Jacob begat Joseph the husband of Mary of whom was born Jesus who is called Christ 	and Jacob begat Joseph the husband of Mary of whom was begotten Jesus who is named Christ 	Jacob became the father of Joseph the husband of Mary from whom was born Jesus Jesus is a Greek variant of the Jewish name Yehoshua which means Yah saves Jesus is also the masculine form of Yeshu ah which means Salvation who is called Christ 	0
3	What was the name of Jesus' mother?	40001017	So all the generations from Abraham to David are fourteen generations and from David until the carrying away into Babylon are fourteen generations and from the carrying away into Babylon unto Christ are fourteen generations 	So all the generations from Abraham unto David are fourteen generations and from David unto the carrying away to Babylon fourteen generations and from the carrying away to Babylon unto the Christ fourteen generations 	All the generations therefore from Abraham unto David are fourteen generations and from David unto the Babylonian removal fourteen generations and from the Babylonian removal unto the Christ fourteen generations 	So all the generations from Abraham to David are fourteen generations from David to the exile to Babylon fourteen generations and from the carrying away to Babylon to the Christ fourteen generations 	0
4	What was the name of the garden where Adam and Eve lived?	01002008	And the LORD God planted a garden eastward in Eden and there he put the man whom he had formed 	And Jehovah God planted a garden eastward in Eden and there he put the man whom he had formed 	And Jehovah God planteth a garden in Eden at the east and He setteth there the man whom He hath formed 	Yahweh God planted a garden eastward in Eden and there he put the man whom he had formed 	1
5	What was the name of the garden where Adam and Eve lived?	01002006	But there went up a mist from the earth and watered the whole face of the ground 	but there went up a mist from the earth and watered the whole face of the ground 	and a mist goeth up from the earth and hath watered the whole face of the ground 	but a mist went up from the earth and watered the whole surface of the ground 	0
6	What was the name of the garden where Adam and Eve lived?	01002007	And the LORD God formed man of the dust of the ground and breathed into his nostrils the breath of life and man became a living soul 	And Jehovah God formed man of the dust of the ground and breathed into his nostrils the breath of life and man became a living soul 	And Jehovah God formeth the man dust from the ground and breatheth into his nostrils breath of life and the man becometh a living creature 	Yahweh God formed man from the dust of the ground and breathed into his nostrils the breath of life and man became a living soul 	0
7	With what food did Jesus feed the multitude?	40014019	And he commanded the multitude to sit down on the grass and took the five loaves and the two fishes and looking up to heaven he blessed and brake and gave the loaves to his disciples and the disciples to the multitude 	And he commanded the multitudes to sit down on the grass and he took the five loaves and the two fishes and looking up to heaven he blessed and brake and gave the loaves to the disciples and the disciples to the multitudes 	And having commanded the multitudes to recline upon the grass and having taken the five loaves and the two fishes having looked up to the heaven he did bless and having broken he gave the loaves to the disciples and the disciples to the multitudes 	He commanded the multitudes to sit down on the grass and he took the five loaves and the two fish and looking up to heaven he blessed broke and gave the loaves to the disciples and the disciples gave to the multitudes 	1
8	With what food did Jesus feed the multitude?	40014017	And they say unto him We have here but five loaves and two fishes 	And they say unto him We have here but five loaves and two fishes 	And they say to him We have not here except five loaves and two fishes 	They told him We only have here five loaves and two fish 	0
9	With what food did Jesus feed the multitude?	40014018	He said Bring them hither to me 	And he said Bring them hither to me 	And he said Bring ye them to me hither 	He said Bring them here to me 	0
10	What method did the Romans use to kill Jesus?	41015025	And it was the third hour and they crucified him 	And it was the third hour and they crucified him 	and it was the third hour and they crucified him 	It was the third hour 9 00 A M and they crucified him 	1
11	What method did the Romans use to kill Jesus?	41015023	And they gave him to drink wine mingled with myrrh but he received it not 	And they offered him wine mingled with myrrh but he received it not 	and they were giving him to drink wine mingled with myrrh and he did not receive 	They offered him wine mixed with myrrh to drink but he didn t take it 	0
12	What method did the Romans use to kill Jesus?	41015024	And when they had crucified him they parted his garments casting lots upon them what every man should take 	And they crucify him and part his garments among them casting lots upon them what each should take 	And having crucified him they were dividing his garments casting a lot upon them what each may take 	Crucifying him they parted his garments among them casting lots on them what each should take 	0
13	From which part of Adam's body did God create Eve?	01002021	And the LORD God caused a deep sleep to fall upon Adam and he slept and he took one of his ribs and closed up the flesh instead thereof 	And Jehovah God caused a deep sleep to fall upon the man and he slept and he took one of his ribs and closed up the flesh instead thereof 	And Jehovah God causeth a deep sleep to fall upon the man and he sleepeth and He taketh one of his ribs and closeth up flesh in its stead 	Yahweh God caused a deep sleep to fall on the man and he slept and he took one of his ribs and closed up the flesh in its place 	1
14	From which part of Adam's body did God create Eve?	01002019	And out of the ground the LORD God formed every beast of the field and every fowl of the air and brought them unto Adam to see what he would call them and whatsoever Adam called every living creature that was the name thereof 	And out of the ground Jehovah God formed every beast of the field and every bird of the heavens and brought them unto the man to see what he would call them and whatsoever the man called every living creature that was the name thereof 	And Jehovah God formeth from the ground every beast of the field and every fowl of the heavens and bringeth in unto the man to see what he doth call it and whatever the man calleth a living creature that is its name 	Out of the ground Yahweh God formed every animal of the field and every bird of the sky and brought them to the man to see what he would call them Whatever the man called every living creature that was its name 	0
15	From which part of Adam's body did God create Eve?	01002020	And Adam gave names to all cattle and to the fowl of the air and to every beast of the field but for Adam there was not found an help meet for him 	And the man gave names to all cattle and to the birds of the heavens and to every beast of the field but for man there was not found a help meet for him 	And the man calleth names to all the cattle and to fowl of the heavens and to every beast of the field and to man hath not been found an helper as his counterpart 	The man gave names to all cattle and to the birds of the sky and to every animal of the field but for man there was not found a helper suitable for him 	0
