Questions,ANSWERS
1. What was the name of Jesus' mother?,1. Mary (Matt 1:18)
2. What was the name of the garden where Adam and Eve lived?,2. Garden of Eden (Gen 2:8)
3. With what food did Jesus feed 5000 people?,3. Loaves of bread and fishes (Matt 14:19)
4. What method did the Romans use to kill Jesus?,4. Crucifixion (Mrk 15:25)
5. From which part of Adam's body did God create Eve?,5. Rib (Gen 2:21)
7. Which creature tricked Eve into eating of the forbidden fruit?,7. Serpent (Gen 3:1)
8. At Christ's crucifixion what did the soldiers place on his head?,8. Crown of Thorns (Matt 27:29)
10. What relationship was Ruth to Naomi?,10. Daughter-in-law (Ruth 1:4)
11. Who lied to God when he was asked where his brother was?,11. Cain (Gen 4:9)
12. Who showed his faith by being willing to offer his son on an altar to God?,12. Abraham (Jam 2:21)
14. What was inscribed above Jesus' cross?,14. This is Jesus King of the Jews (Matt 27:27)
15. Whose mother placed him in an ark of bulrushes?,15. Moses (Exo 2:3)
16. For how many days and nights did it rain in the story of the flood?,16. Forty (Gen 7:12)
17. What was special about Jesus' mother?,17. She was a virgin (Matt 1:23)
18. Who gave gifts to Jesus when he was a young child?,18. Wise men (Matt 2:11)
19. What happened to Jonah after he was thrown overboard?,19. He was swallowed by a great fish (Jon 1:17)
20. In whose image was man created?,20. God's (Gen 1:27)
21. How many apostles did Jesus choose?,21. Twelve (Luke 6:13)
22. What are the wages of sin?,22. Death (Rom 6:23)
24. Who else other than the wise men came to visit Jesus when he was a small child?,24. Shepherds (Luke 2:15)
25. Who lied when he was asked to reveal the source of his great strength?,25. Samson (Jdg 16:15)
26. What was the name of the man Jesus' mother was engaged to at the time she became pregnant?,26. Joseph (Matt 1:19)
28. From what disaster did the Ark save Noah?,28. Flood (Gen 7:7)
29. What happened to Jesus forty days after his resurrection?,29. He ascended into heaven (Acts 1:9)
30. What animals did Jesus cause to run into the sea and drown?,30. Pigs (Matt 8:32)
31. On what were the Ten Commandments written?,31. Two tables of stone (Deut 5:22)
32. What did Jesus sleep in after he was born?,32. Manger (Luke 2:7)
33. What was man created from?,33. Dust of the ground (Gen 2:7)
34. What did Jesus do to each of the disciples during the Last Supper?,34. Washed their feet (John 13:5)
35. To which city did God ask Jonah to take his message?,35. Nineveh (Jon 1:2)
36. Who was David's father?,36. Jesse (Ruth 4:22)
38. What is the only sin that cannot be forgiven?,38. Blasphemy against the Holy Spirit (Mrk 3:29)
39. How did David defeat Goliath?,39. He hit him with a stone from his sling (1 Sam 17:49)
40. What did Joseph's brothers do to get rid of him?,40. Threw him in a pit and then sold him to strangers (Gen 37:28)
41. Who wrote the letter to Philemon?,41. Paul (Phm 1:1)
42. In what was Jesus wrapped before he was buried?,42. Linen clothes (John 19:40)
43. What was the name of Moses' brother?,43. Aaron (Exo 7:1)
44. What sin is Cain remembered for?,44. Murder (Gen 4:8)
48. What was David's occupation before he became king?,48. Shepherd (1 Sam 17:15)
49. Who hid the two spies sent by Joshua?,49. Rahab (Josh 2:1)
50. Whose prayer resulted in his being thrown into a den of lions?,50. Daniel (Dan 6:7)
51. What was the apparent source of Samson's strength?,51. Long hair (Jdg 16:17)
52. From which country did Moses help the Israelites escape from their lives of slavery?,52. Egypt (Exo 13:3)
53. Who was the fourth person in the fiery furnace along with Daniel's friends?,53. An angel (Dan 3:28)
54. What did Joseph's brothers do to deceive their father to cover up that they had sold Joseph into slavery?,54. Dipped his coat in the blood of a goat (Gen 37:31) 
